Algorithms,Time Key,Time Encrption,Time Decryption
AES_CBC_Small_File,6e-06,0.0010505999999999998,0.0007668
AES_CBC_Large_File,6e-06,0.0115362,0.010461799999999999
AES_CTR_Small_File,6.3e-06,0.0007142,0.0008148
AES_CTR_Large_File,6.3e-06,0.0067534,0.0078353
AES_CTR_256_Small_File,6.8e-06,0.0007999,0.0006125
AES_CTR_256_Large_File,6.8e-06,0.008250200000000001,0.0069568
TripleDES_Small_File,1.0300000000000001e-05,0.0157817,0.0159047
TripleDES_Large_File,1.0300000000000001e-05,0.2675072,0.2654879
RSA_2048_Small_File,0.2302095,0.1547805,1.6274006
RSA_2048_Large_File,0.1600036,0.7895331999999999,3.1929298
RSA_3072_Small_File,0.40998829999999997,0.1166993,2.7832089
RSA_3072_Large_File,0.7187931999999999,0.4124576,5.4192842
DSA_2048_Small_File,0.4468945,0.0010850999999999999,0.0007888999999999999
DSA_2048_Large_File,0.29395679999999996,0.0057633,0.0053356
DSA_3072_Small_File,1.0506086000000001,0.0012352,0.0010548
DSA_3072_Large_File,1.6005649,0.0058237,0.0058949
